participant,img,selected,time,group,type,order,target,item,trial,category
a32f52473f97d56c62a7bf2405cfb49d,basic-dog-3.jpg,TRUE,9066,A,3basic,3-1,label1,animal,critical,basic
a32f52473f97d56c62a7bf2405cfb49d,basic-dog-1.jpg,TRUE,9723,A,3basic,3-1,label1,animal,critical,basic
a32f52473f97d56c62a7bf2405cfb49d,basic-dog-2.jpg,TRUE,10696,A,3basic,3-1,label1,animal,critical,basic
a32f52473f97d56c62a7bf2405cfb49d,sub-dalmatian-1.jpg,TRUE,11395,A,3basic,3-1,label1,animal,critical,sub
a32f52473f97d56c62a7bf2405cfb49d,sub-dalmatian-2.jpg,TRUE,12008,A,3basic,3-1,label1,animal,critical,sub
a32f52473f97d56c62a7bf2405cfb49d,contrast-corgi-1.jpg,TRUE,12245,A,3basic,3-1,label1,animal,critical,contrast
a32f52473f97d56c62a7bf2405cfb49d,contrast-corgi-2.jpg,TRUE,12998,A,3basic,3-1,label1,animal,critical,contrast
a32f52473f97d56c62a7bf2405cfb49d,sub-trex-2.jpg,TRUE,4195,A,3sub,1-3,label2,beast,critical,sub
a32f52473f97d56c62a7bf2405cfb49d,sub-trex-1.jpg,TRUE,6228,A,3sub,1-3,label2,beast,critical,sub
a32f52473f97d56c62a7bf2405cfb49d,sub-smart_phone-2.jpg,TRUE,3649,A,3sub,3-1,label1,electronics,critical,sub
a32f52473f97d56c62a7bf2405cfb49d,sub-smart_phone-1.jpg,TRUE,5175,A,3sub,3-1,label1,electronics,critical,sub
a32f52473f97d56c62a7bf2405cfb49d,basic-apple-1.jpg,TRUE,3877,A,3basic,1-3,label2,fruit,critical,basic
a32f52473f97d56c62a7bf2405cfb49d,basic-apple-2.jpg,TRUE,4237,A,3basic,1-3,label2,fruit,critical,basic
a32f52473f97d56c62a7bf2405cfb49d,sub-red_apple-2.jpg,TRUE,4565,A,3basic,1-3,label2,fruit,critical,sub
a32f52473f97d56c62a7bf2405cfb49d,sub-red_apple-1.jpg,TRUE,5194,A,3basic,1-3,label2,fruit,critical,sub
a32f52473f97d56c62a7bf2405cfb49d,basic-apple-3.jpg,TRUE,6270,A,3basic,1-3,label2,fruit,critical,basic
a32f52473f97d56c62a7bf2405cfb49d,sub-wooden_chair-1.jpg,TRUE,7604,A,3basic,3-1,label1,furniture,critical,sub
a32f52473f97d56c62a7bf2405cfb49d,sub-wooden_chair-2.jpg,TRUE,8081,A,3basic,3-1,label1,furniture,critical,sub
a32f52473f97d56c62a7bf2405cfb49d,basic-chair-3.jpg,TRUE,9018,A,3basic,3-1,label1,furniture,critical,basic
a32f52473f97d56c62a7bf2405cfb49d,basic-chair-1.jpg,TRUE,10313,A,3basic,3-1,label1,furniture,critical,basic
a32f52473f97d56c62a7bf2405cfb49d,basic-chair-2.jpg,TRUE,11084,A,3basic,3-1,label1,furniture,critical,basic
a32f52473f97d56c62a7bf2405cfb49d,sub-gooseneck_lamp-1.jpg,TRUE,14912,A,3sub,1-3,label2,light,critical,sub
a32f52473f97d56c62a7bf2405cfb49d,sub-gooseneck_lamp-1.jpg,FALSE,15753,A,3sub,1-3,label2,light,critical,sub
a32f52473f97d56c62a7bf2405cfb49d,sup-vegetable-3.jpg,TRUE,18572,A,3sub,1-3,label2,light,critical,other
a32f52473f97d56c62a7bf2405cfb49d,sup-animal-5.jpg,TRUE,19235,A,3sub,1-3,label2,light,critical,other
a32f52473f97d56c62a7bf2405cfb49d,sup-vehicle-3.jpg,TRUE,19791,A,3sub,1-3,label2,light,critical,other
a32f52473f97d56c62a7bf2405cfb49d,sup-beast-5.jpg,TRUE,21274,A,3sub,1-3,label2,light,critical,other
a32f52473f97d56c62a7bf2405cfb49d,sup-furniture-5.jpg,TRUE,23742,A,3sub,1-3,label2,light,critical,other
a32f52473f97d56c62a7bf2405cfb49d,sup-fruit-3.jpg,TRUE,25893,A,3sub,1-3,label2,light,critical,other
a32f52473f97d56c62a7bf2405cfb49d,sup-planet-2.jpg,TRUE,26513,A,3sub,1-3,label2,light,critical,other
a32f52473f97d56c62a7bf2405cfb49d,sup-electronics-2.jpg,TRUE,29337,A,3sub,1-3,label2,light,critical,other
a32f52473f97d56c62a7bf2405cfb49d,sub-green_pepper-1.jpg,TRUE,1844,A,3sub,3-1,label1,vegetable,critical,sub
a32f52473f97d56c62a7bf2405cfb49d,sub-green_pepper-2.jpg,TRUE,2726,A,3sub,3-1,label1,vegetable,critical,sub
a32f52473f97d56c62a7bf2405cfb49d,sub-racecar-2.jpg,TRUE,2814,A,3basic,1-3,label2,vehicle,critical,sub
a32f52473f97d56c62a7bf2405cfb49d,basic-car-1.jpg,TRUE,4464,A,3basic,1-3,label2,vehicle,critical,basic
a32f52473f97d56c62a7bf2405cfb49d,contrast-van-2.jpg,TRUE,6456,A,3basic,1-3,label2,vehicle,critical,contrast
a32f52473f97d56c62a7bf2405cfb49d,basic-car-2.jpg,TRUE,6913,A,3basic,1-3,label2,vehicle,critical,basic
a32f52473f97d56c62a7bf2405cfb49d,contrast-van-1.jpg,TRUE,7219,A,3basic,1-3,label2,vehicle,critical,contrast
a32f52473f97d56c62a7bf2405cfb49d,sub-racecar-1.jpg,TRUE,7853,A,3basic,1-3,label2,vehicle,critical,sub
a32f52473f97d56c62a7bf2405cfb49d,basic-car-3.jpg,TRUE,9023,A,3basic,1-3,label2,vehicle,critical,basic
